"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Less", "Markdown", "TypeScript React", "HTML", "comment", "blank", "total"
"d:\project\s2\testApp\src\pages\testPage\Welcome.less", "Less", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\project\s2\testApp\src\pages\testPage\testPage.less", "Less", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3
"d:\project\s2\testApp\src\pages\testPage\testPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 5, 15
"d:\project\s2\testApp\src\service-worker.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7, 66
"d:\project\s2\testApp\src\services\ant-design-pro\api.ts", "TypeScript", 0, 0, 154, 0, 0, 0, 0, 0, 0, 28, 19, 201
"d:\project\s2\testApp\src\services\ant-design-pro\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 1, 11
"d:\project\s2\testApp\src\services\ant-design-pro\login.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 2, 22
"d:\project\s2\testApp\src\services\ant-design-pro\typings.d.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 9, 17, 143
"d:\project\s2\testApp\src\services\swagger\index.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 1, 13
"d:\project\s2\testApp\src\services\swagger\pet.ts", "TypeScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 17, 16, 154
"d:\project\s2\testApp\src\services\swagger\store.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 8, 5, 49
"d:\project\s2\testApp\src\services\swagger\typings.d.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 16, 18, 113
"d:\project\s2\testApp\src\services\swagger\user.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 14, 9, 101
"d:\project\s2\testApp\src\typings.d.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\project\s2\testApp\tests\run-tests.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 48
"d:\project\s2\testApp\tests\setupTests.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"d:\project\s2\testApp\tests\t11.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\project\s2\testApp\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 0, 42
"Total", "-", 103, 42, 3306, 701, 8, 334, 273, 3355, 221, 451, 626, 9420
